anchor_category,recommended_category,co_orders,anchor_orders,recommended_orders,support,confidence_anchor_to_recommended,confidence_recommended_to_anchor,lift
eletronicos,perfumaria,2,2517,3088,2.102430409553444e-05,0.0007945967421533572,0.0006476683937823834,0.02447810844804552
ferramentas_jardim,papelaria,2,3447,2264,2.102430409553444e-05,0.0005802146794313896,0.0008833922261484099,0.024379267678864502
esporte_lazer,utilidades_domesticas,11,7528,5743,0.00011563367252543941,0.001461211477151966,0.001915375239421905,0.024203748110484456
construcao_ferramentas_construcao,relogios_presentes,1,736,5493,1.051215204776722e-05,0.001358695652173913,0.0001820498816675769,0.023529947205534318
alimentos,cama_mesa_banho,1,441,9271,1.051215204776722e-05,0.0022675736961451248,0.00010786322942508899,0.023267150314625545
malas_acessorios,telefonia,1,1019,4092,1.051215204776722e-05,0.0009813542688910696,0.00024437927663734115,0.02281384870260745
construcao_ferramentas_construcao,utilidades_domesticas,1,736,5743,1.051215204776722e-05,0.001358695652173913,0.00017412502176562773,0.022505659063207385
beleza_saude,malas_acessorios,2,8648,1019,2.102430409553444e-05,0.00023126734505087883,0.001962708537782139,0.021589793915603533
informatica_acessorios,telefonia,6,6529,4092,6.307291228660331e-05,0.0009189768724153775,0.001466275659824047,0.021363741915720928
automotivo,cool_stuff,3,3809,3556,3.1536456143301656e-05,0.0007876082961407193,0.000843644544431946,0.021069629357501223
eletroportateis,esporte_lazer,1,608,7528,1.051215204776722e-05,0.001644736842105263,0.00013283740701381508,0.020783810615806253
construcao_ferramentas_construcao,moveis_decoracao,1,736,6303,1.051215204776722e-05,0.001358695652173913,0.00015865460891638903,0.02050610820244328
cool_stuff,informatica_acessorios,5,3556,6529,5.2560760238836095e-05,0.00140607424071991,0.000765814060346148,0.020486602905682893
beleza_saude,esporte_lazer,14,8648,7528,0.00014717012866874107,0.0016188714153561516,0.0018597236981934113,0.020456960680127523
esporte_lazer,moveis_escritorio,2,7528,1254,2.102430409553444e-05,0.00026567481402763017,0.001594896331738437,0.020153998172903035
construcao_ferramentas_construcao,informatica_acessorios,1,736,6529,1.051215204776722e-05,0.001358695652173913,0.00015316281206922958,0.019796293459947923
beleza_saude,papelaria,4,8648,2264,4.204860819106888e-05,0.00046253469010175765,0.0017667844522968198,0.019434628975265017
moveis_decoracao,relogios_presentes,7,6303,5493,7.358506433437053e-05,0.0011105822624147231,0.0012743491716730383,0.01923310931348767
automotivo,informatica_acessorios,5,3809,6529,5.2560760238836095e-05,0.0013126804935678655,0.000765814060346148,0.019125849286586602
eletronicos,telefonia,2,2517,4092,2.102430409553444e-05,0.0007945967421533572,0.0004887585532746823,0.01847223824231783
automotivo,telefonia,3,3809,4092,3.1536456143301656e-05,0.0007876082961407193,0.0007331378299120235,0.018309775658669196
perfumaria,pet_shop,1,3088,1688,1.051215204776722e-05,0.0003238341968911917,0.0005924170616113745,0.01824982196792967
beleza_saude,eletroportateis,1,8648,608,1.051215204776722e-05,0.00011563367252543941,0.001644736842105263,0.018092105263157895
moveis_decoracao,pet_shop,2,6303,1688,2.102430409553444e-05,0.00031730921783277807,0.001184834123222749,0.017882103835305987
automotivo,bebes,2,3809,2808,2.102430409553444e-05,0.0005250721974271463,0.0007122507122507123,0.01778812962850768
cool_stuff,moveis_decoracao,4,3556,6303,4.204860819106888e-05,0.0011248593925759281,0.0006346184356655561,0.0169769354746887
ferramentas_jardim,pet_shop,1,3447,1688,1.051215204776722e-05,0.0002901073397156948,0.0005924170616113745,0.016349129746726667
consoles_games,utilidades_domesticas,1,1018,5743,1.051215204776722e-05,0.0009823182711198428,0.00017412502176562773,0.01627128199461752
brinquedos,perfumaria,2,3804,3088,2.102430409553444e-05,0.0005257623554153522,0.0006476683937823834,0.016196477119802988
papelaria,relogios_presentes,2,2264,5493,2.102430409553444e-05,0.0008833922261484099,0.0003640997633351538,0.015298622918085916
beleza_saude,construcao_ferramentas_construcao,1,8648,736,1.051215204776722e-05,0.00011563367252543941,0.001358695652173913,0.014945652173913044
automotivo,ferramentas_jardim,2,3809,3447,2.102430409553444e-05,0.0005250721974271463,0.0005802146794313896,0.014490591237844377
consoles_games,informatica_acessorios,1,1018,6529,1.051215204776722e-05,0.0009823182711198428,0.00015316281206922958,0.014312447923891624
cama_mesa_banho,construcao_ferramentas_construcao,1,9271,736,1.051215204776722e-05,0.00010786322942508899,0.001358695652173913,0.01394132240319275
eletronicos,relogios_presentes,2,2517,5493,2.102430409553444e-05,0.0007945967421533572,0.0003640997633351538,0.01376085907292273
automotivo,fashion_bolsas_e_acessorios,1,3809,1821,1.051215204776722e-05,0.00026253609871357313,0.0005491488193300384,0.013714735858552873
moveis_decoracao,papelaria,2,6303,2264,2.102430409553444e-05,0.00031730921783277807,0.0008833922261484099,0.013332593318903052
brinquedos,esporte_lazer,4,3804,7528,4.204860819106888e-05,0.0010515247108307045,0.0005313496280552603,0.013287651792229445
